aframe-capture session 20260702-080734
target: /dev/cu.usbserial-0001
output: captures/20260702-080734

== GetVersion
  VER.2.00-BLD.001 2019/02/28 17:58:50
== Enter external edit mode
== Probe instrument parameters (algo 0)
=== INST algo=0 prm_num=79 tone=SnappyFramey
  F  1 =     25 | ?Bf:SnapFrameRev | Pre Delay: 25ms?
  F  2 =     70 | ?Bf:SnapFrameRev | ER Dens: 70?    
  F  3 =     90 | ?Bf:SnapFrameRev | Rev Dens: 90?   
  F  4 =    100 | ?Bf:SnapFrameRev | HF Damp:1.00?   
  F  5 =    100 | ?Bf:SnapFrameRev | Pan Spread:100? 
  F  6 =     40 | ?Bf:SnapFrameRev | ER Level: 40?   
  F  7 =    100 | ?Bf:SnapFrameRev | Rev Level:100?  
  F  8 =     10 | ?Bf:SnapFrameRev | Wet Level: 10?  
  F  9 =    100 | ?Bf:SnapFrameRev | Dry Level:100?  
  F 10 =      0 | ?Bf:SnapFrameRev | PressMode:OFF?  
  F 11 =     50 | ?Bf:SnapFrameRev | PressSens: 50?  
  F 12 =    100 | ?Bf:SnapFrameRev | PressAtck: 100ms
  F 13 =    100 | ?Bf:SnapFrameRev | PressRele: 100ms
  F 14 =      1 | ?Bf:SnapFrameRev | Reverb Sw:ON?   
  F 15 =      0 | ?Bf:SnapFrameRev | FxMtrx:Snd/Rtn? 
  F 16 =      1 | ?Bf:SnapFrameRev | Comp Sw:ON?     
  F 17 =    -15 | ?Bf:SnapFrameRev | CompThrs: -1.5dB
  F 18 =     10 | ?Bf:SnapFrameRev | CompRatio:  2:1?
  F 19 =      1 | ?Bf:SnapFrameRev | CompKnee:SOFT1? 
  F 20 =      0 | ?Bf:SnapFrameRev | CompAtck:  0.0ms
  F 21 =    300 | ?Bf:SnapFrameRev | CompRele:  300ms
  F 22 =      0 | ?Bf:SnapFrameRev | CompGain: +0.0dB
=== FX2 algo=2 prm_num=26 tone=TuTuDrmDly
  F  0 =      0 | ?Bf:TuTuDrmDly   | Type:Stereo In? 
  F  1 =    420 | ?Bf:TuTuDrmDly   | Time L:  42.0ms?
  F  2 =    280 | ?Bf:TuTuDrmDly   | Time R:  28.0ms?
  F  3 =     50 | ?Bf:TuTuDrmDly   | Feedback: 50?   
  F  4 =    100 | ?Bf:TuTuDrmDly   | HF Damp:1.00?   
  F  5 =    100 | ?Bf:TuTuDrmDly   | Pan Spread:100? 
  F  6 =     28 | ?Bf:TuTuDrmDly   | Wet Level: 28?  
  F  7 =    100 | ?Bf:TuTuDrmDly   | Dry Level:100?  
  F  8 =     10 | ?Bf:TuTuDrmDly   | Mod Rate: 1.0Hz?
  F  9 =     20 | ?Bf:TuTuDrmDly   | Mod Depth: 20?  
  F 10 =    180 | ?Bf:TuTuDrmDly   | Mod Phase:180deg
  F 11 =      4 | ?Bf:TuTuDrmDly   | PressMode:SPREAD
  F 12 =     50 | ?Bf:TuTuDrmDly   | PressSens: 50?  
  F 13 =    100 | ?Bf:TuTuDrmDly   | PressAtck: 100ms
  F 14 =    100 | ?Bf:TuTuDrmDly   | PressRele: 100ms
  F 15 =      1 | ?Bf:TuTuDrmDly   | Delay Sw:ON?    
  F 16 =      0 | ?Bf:TuTuDrmDly   | FxMtrx:Snd/Rtn? 
  F 17 =      4 | ?Bf:TuTuDrmDly   | AmbienceType:D? 
  F 18 =     16 | ?Bf:TuTuDrmDly   | Ambience Lev: 16
  F 19 =      1 | ?Bf:TuTuDrmDly   | Comp Sw:ON?     
  F 20 =    -80 | ?Bf:TuTuDrmDly   | CompThrs: -8.0dB
  F 21 =     10 | ?Bf:TuTuDrmDly   | CompRatio:  2:1?
  F 22 =      0 | ?Bf:TuTuDrmDly   | CompKnee:HARD?  
  F 23 =     20 | ?Bf:TuTuDrmDly   | CompAtck:  2.0ms
  F 24 =     90 | ?Bf:TuTuDrmDly   | CompRele:   90ms
  F 25 =     15 | ?Bf:TuTuDrmDly   | CompGain: +1.5dB
=== FX3 algo=3 prm_num=19 tone=CanterbryCho
  F  0 =      3 | ?Bf:CanterbryCho | Type:3PHASE XMIX
  F  1 =      6 | ?Bf:CanterbryCho | Mod Rate: 0.6Hz?
  F  2 =    100 | ?Bf:CanterbryCho | Mod Depth:100?  
  F  3 =    180 | ?Bf:CanterbryCho | Mod Phase:180?  
  F  4 =    500 | ?Bf:CanterbryCho | Wet HPF:  500Hz?
  F  5 =   7551 | ?Bf:CanterbryCho | Wet LPF: 7551Hz?
  F  6 =    100 | ?Bf:CanterbryCho | Wet Level:100?  
  F  7 =     80 | ?Bf:CanterbryCho | Dry Level: 80?  
  F  8 =      1 | ?Bf:CanterbryCho | Chorus Sw:ON?   
  F  9 =      0 | ?Bf:CanterbryCho | FxMtrx:Snd/Rtn? 
  F 10 =      0 | ?Bf:CanterbryCho | AmbienceType:OFF
  F 11 =     70 | ?Bf:CanterbryCho | Ambience Lev: 70
  F 12 =      0 | ?Bf:CanterbryCho | Comp Sw:OFF?    
  F 13 =   -120 | ?Bf:CanterbryCho | CompThrs:-12.0dB
  F 14 =     10 | ?Bf:CanterbryCho | CompRatio:  2:1?
  F 15 =      1 | ?Bf:CanterbryCho | CompKnee:SOFT1? 
  F 16 =      0 | ?Bf:CanterbryCho | CompAtck:  0.0ms
  F 17 =    300 | ?Bf:CanterbryCho | CompRele:  300ms
  F 18 =      0 | ?Bf:CanterbryCho | CompGain: +0.0dB
=== FX4 algo=4 prm_num=21 tone=WormSwormFlg
  F  0 =     51 | ?Bf:WormSwormFlg |   RATE: 51?     
  F  1 =     55 | ?Bf:WormSwormFlg |  DEPTH: 55?     
  F  2 =     70 | ?Bf:WormSwormFlg | MANUAL: 70?     
  F  3 =     85 | ?Bf:WormSwormFlg |   RESO: 85?     
  F  4 =     40 | ?Bf:WormSwormFlg |    XFB: 40?     
  F  5 =    180 | ?Bf:WormSwormFlg | MOD PH:180?     
  F  6 =      2 | ?Bf:WormSwormFlg | PressMode:MANU++
  F  7 =     50 | ?Bf:WormSwormFlg | PressSens: 50?  
  F  8 =    100 | ?Bf:WormSwormFlg | PressAtck: 100ms
  F  9 =    100 | ?Bf:WormSwormFlg | PressRele: 100ms
  F 10 =      1 | ?Bf:WormSwormFlg | Flnager Sw:ON?  
  F 11 =      0 | ?Bf:WormSwormFlg | FxMtrx:Snd/Rtn? 
  F 12 =      0 | ?Bf:WormSwormFlg | AmbienceType:OFF
  F 13 =     70 | ?Bf:WormSwormFlg | Ambience Lev: 70
  F 14 =      0 | ?Bf:WormSwormFlg | Comp Sw:OFF?    
  F 15 =   -120 | ?Bf:WormSwormFlg | CompThrs:-12.0dB
  F 16 =     10 | ?Bf:WormSwormFlg | CompRatio:  2:1?
  F 17 =      1 | ?Bf:WormSwormFlg | CompKnee:SOFT1? 
  F 18 =      0 | ?Bf:WormSwormFlg | CompAtck:  0.0ms
  F 19 =    300 | ?Bf:WormSwormFlg | CompRele:  300ms
  F 20 =      0 | ?Bf:WormSwormFlg | CompGain: +0.0dB
=== FX5 algo=5 prm_num=22 tone=SequentialPh
  F  0 =     50 | ?Bf:SequentialPh |   RATE: 50?     
  F  1 =     45 | ?Bf:SequentialPh |  DEPTH: 45?     
  F  2 =     50 | ?Bf:SequentialPh | MANUAL: 50?     
  F  3 =     80 | ?Bf:SequentialPh |   RESO: 80?     
  F  4 =     20 | ?Bf:SequentialPh |    XFB: 20?     
  F  5 =    180 | ?Bf:SequentialPh | MOD_PH:180?     
  F  6 =      4 | ?Bf:SequentialPh |  STAGE:4?       
  F  7 =      0 | ?Bf:SequentialPh | PressMode:OFF?  
  F  8 =     50 | ?Bf:SequentialPh | PressSens: 50?  
  F  9 =    100 | ?Bf:SequentialPh | PressAtck: 100ms
  F 10 =    100 | ?Bf:SequentialPh | PressRele: 100ms
  F 11 =      1 | ?Bf:SequentialPh | Phaser Sw:ON?   
  F 12 =      0 | ?Bf:SequentialPh | FxMtrx:Snd/Rtn? 
  F 13 =      0 | ?Bf:SequentialPh | AmbienceType:OFF
